id,birth,gender,hispanic,race,race2,education,height,weight,pregnant,marital,workhours,income,staging1,staging2,staging3,change1,change2,change3,change4,change5,change6,change7,change8,change9,change10,change11,change12,change13,change14,change15,procon1,procon2,procon3,procon4,procon5,procon6,procon7,procon8,conf1,conf2,conf3,conf4,conf5,conf6,support1,support2,support3,support4,support5,enjoy1,enjoy2,enjoy3,enjoy4,friendfam,leisure,sedweek1,sedweek2,sedweek3,sedweek4,sedweek5,sedweek6,sedweek7,sedweek8,sedweek9,sedwkend1,sedwkend2,sedwkend3,sedwkend4,sedwkend5,sedwkend6,sedwkend7,sedwkend8,sedwkend9,PAR1,PAR2,PAR3,PARS1,PARS2,PARS3,PARS4,PARS5,PARS6,PARS7,PAR
1,1991,2,0,1,,6,62,118,0,3,2,2,2,0,,5,5,4,4,3,1,4,5,4,5,4,3,4,3,3,3,2,2,1,5,3,3,2,1,3,1,1,4,3,2,1,2,1,2,4,1,5,4,3,2,0,0,1,0.25,3,0,0,0.5,2,0,0,1,0,1,2,0,1,1,,,,,,,,,,,
2,1987,1,0,1,,6,69,148,2,1,3,10,4,1,,3,5,3,4,3,2,3,3,2,2,5,5,3,3,2,4,4,4,3,3,4,4,3,2,2,3,2,1,3,3,2,2,3,3,2,4,5,4,2,3,2.5,0.5,0.25,2.5,4,1,0,0,2,2,1,0,0.5,1,2,0,1,1.5,,,,,,,,,,,
3,1980,1,0,1,,6,72,440,2,3,3,4,3,2,,3,4,2,3,1,5,3,5,3,3,5,2,2,4,2,3,2,4,5,4,5,5,1,2,3,3,3,2,3,4,4,4,3,3,2,4,3,3,1,1,3,1.5,0,0.25,6,0.25,0,0,2.5,6,3,1,0.5,0,0.5,0,0,0.5,,,,,,,,,,,
4,1990,2,0,1,,5,69,117,0,3,2,2,7,,1,3,4,5,5,1,2,5,3,5,3,4,4,2,3,4,5,1,3,2,5,1,4,1,5,5,3,5,2,5,3,2,3,4,5,5,3,3,1,2,4,1,0.5,0,0,0.25,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0,0,1,,,,,,,,,,,
5,1981,1,0,1,,7,76,190,2,1,3,9,5,,1,1,3,3,2,4,2,3,5,4,2,5,2,2,1,2,4,2,4,1,3,1,4,2,4,4,3,2,5,5,2,1,1,1,1,2,2,2,3,4,3,1,0.25,0,0,1.5,0.25,0,0,1,2,1,0,0,0,1,0,0,1,,,,,,,,,,,
6,1986,2,0,1,2,7,67,143,0,3,3,6,6,,1,5,5,5,4,1,3,4,5,3,3,4,4,3,5,3,4,2,4,1,5,1,4,1,3,4,2,3,3,4,4,1,1,3,4,4,3,3,3,4,3,2,1,2,0,6,1,0,0,2,3,3,0,0,2,1,0,0,1,,,,,,,,,,,
7,1963,2,0,1,,7,65,122,0,1,3,11,7,,1,2,5,4,1,1,1,1,4,1,4,5,4,2,3,2,5,3,4,1,5,1,5,3,4,4,2,5,2,5,5,4,1,2,5,4,2,5,5,3,3,0,2,0,0,6,1,0,0,0,0,2,0,0,6,1,0,0,0,,,,,,,,,,,
8,1989,1,0,1,,7,74,240,2,4,1,4,7,,1,2,5,2,3,2,3,3,3,3,4,4,5,3,4,2,3,2,5,2,4,1,5,2,3,3,2,4,2,5,5,3,4,2,5,4,4,5,3,2,2,3,3,4,0.25,2,0.5,2,0.5,0.5,2,4,4,0.25,1,0.5,2,0.5,1,,,,,,,,,,,
9,1992,2,0,1,,6,66,113,0,3,3,5,1,0,,1,4,2,3,1,1,3,4,2,2,3,2,2,3,1,1,5,1,1,4,3,3,1,1,5,1,3,2,5,1,2,1,1,2,5,4,5,3,2,2,2,0.5,0,1.5,6,0,0.5,0,1,2,1,0,2,1,0,1,0,1,,,,,,,,,,,
10,1979,2,0,1,3,7,65,140,0,3,2,11,3,0,,3,4,2,5,1,1,3,5,4,5,5,2,3,3,2,2,4,3,1,5,2,4,4,3,5,1,4,2,1,2,2,1,1,3,5,3,4,3,4,2,0.5,1,0,1,6,0.5,0,0,0.5,0,2,0,1,3,0.5,0,0,1,,,,,,,,,,,
11,1967,1,0,1,,7,67,155,0,1,3,11,7,,1,5,5,4,1,1,1,5,5,3,3,5,2,2,2,1,4,1,5,1,4,1,5,1,4,4,3,5,5,5,2,1,1,1,5,5,5,5,3,2,4,1.5,2,0,0.25,6,0,0,0,0.5,4,2,0,0,0.5,0.5,0,0.5,1,,,,,,,,,,,
12,1990,1,0,1,,7,67,140,0,3,3,4,3,0,,2,5,3,4,1,2,3,4,3,2,4,4,2,5,4,2,2,3,1,5,1,2,3,2,4,2,3,2,4,5,2,4,4,5,5,3,5,3,2,3,1,2,0.5,0.25,6,0,0,0,1,2,2,1,0.5,1,0.25,0,0,1,,,,,,,,,,,
13,1981,2,1,,,7,66,170,0,1,3,9,3,0,,1,4,3,3,2,3,2,4,3,4,4,3,3,4,3,5,1,4,1,3,1,2,2,3,4,2,1,4,5,3,1,2,1,4,5,4,4,4,3,3,1.5,1,0,0.25,6,0,0,0,1.5,2.5,0,0,0.25,0.5,0,0,0,1,,,,,,,,,,,
14,1989,1,0,1,,6,76,200,2,3,3,7,3,2,,3,5,4,1,1,2,4,5,4,4,5,4,4,4,3,1,3,5,2,5,5,5,4,3,3,3,1,3,5,4,1,3,4,1,5,5,5,3,4,1,4,1,0,0,6,0,0,0,0.5,6,3,0,0,1,0,0,0,0.5,,,,,,,,,,,
15,1973,2,0,1,,7,70,162,0,1,3,11,3,0,,3,5,4,3,1,2,2,5,5,4,4,4,2,5,3,3,1,4,2,5,1,4,2,3,3,2,4,3,1,4,1,1,1,4,5,5,5,5,3,2,1,2,0,0,6,0.5,0,0,1.5,2,3,1,0,1,2.5,0,1,0,,,,,,,,,,,
