date,fitbit,moves,comibined,activecat,year,month,day
2/28/11,12687,,12687,5,2011,2,1
3/1/11,8023,,8023,3,2011,3,2
3/2/11,7834,,7834,3,2011,3,3
3/3/11,20059,,20059,5,2011,3,4
3/4/11,10436,,10436,4,2011,3,5
3/5/11,10665,,10665,4,2011,3,6
3/6/11,10386,,10386,4,2011,3,7
3/7/11,19047,,19047,5,2011,3,1
3/8/11,15227,,15227,5,2011,3,2
3/9/11,12261,,12261,4,2011,3,3
3/10/11,16648,,16648,5,2011,3,4
3/11/11,10599,,10599,4,2011,3,5
3/12/11,13307,,13307,5,2011,3,6
3/13/11,10133,,10133,4,2011,3,7
3/14/11,11770,,11770,4,2011,3,1
3/15/11,12214,,12214,4,2011,3,2
3/16/11,15556,,15556,5,2011,3,3
3/17/11,10046,,10046,4,2011,3,4
3/18/11,14030,,14030,5,2011,3,5
3/19/11,6318,,6318,2,2011,3,6
3/20/11,10014,,10014,4,2011,3,7
3/21/11,12613,,12613,5,2011,3,1
3/22/11,11764,,11764,4,2011,3,2
3/23/11,25237,,25237,5,2011,3,3
3/24/11,10827,,10827,4,2011,3,4
3/25/11,5777,,5777,2,2011,3,5
3/26/11,17143,,17143,5,2011,3,6
3/27/11,12577,,12577,5,2011,3,7
3/28/11,19299,,19299,5,2011,3,1
3/29/11,15947,,15947,5,2011,3,2
3/30/11,22210,,22210,5,2011,3,3
3/31/11,6009,,6009,2,2011,3,4
4/1/11,22418,,22418,5,2011,4,5
4/2/11,12762,,12762,5,2011,4,6
4/3/11,12185,,12185,4,2011,4,7
4/4/11,9352,,9352,3,2011,4,1
4/5/11,11154,,11154,4,2011,4,2
4/6/11,13494,,13494,5,2011,4,3
4/7/11,13206,,13206,5,2011,4,4
4/8/11,10258,,10258,4,2011,4,5
4/9/11,18223,,18223,5,2011,4,6
4/10/11,9904,,9904,3,2011,4,7
4/11/11,12743,,12743,5,2011,4,1
4/12/11,116,,116,1,2011,4,2
4/13/11,15511,,15511,5,2011,4,3
4/14/11,23035,,23035,5,2011,4,4
4/15/11,17045,,17045,5,2011,4,5
4/16/11,13914,,13914,5,2011,4,6
4/17/11,14811,,14811,5,2011,4,7
4/18/11,15864,,15864,5,2011,4,1
4/19/11,21551,,21551,5,2011,4,2
4/20/11,23972,,23972,5,2011,4,3
4/21/11,21347,,21347,5,2011,4,4
4/22/11,22728,,22728,5,2011,4,5
4/23/11,22522,,22522,5,2011,4,6
4/24/11,13241,,13241,5,2011,4,7
4/25/11,12190,,12190,4,2011,4,1
4/26/11,29953,,29953,5,2011,4,2
4/27/11,7437,,7437,2,2011,4,3
4/28/11,19272,,19272,5,2011,4,4
4/29/11,12341,,12341,4,2011,4,5
4/30/11,6584,,6584,2,2011,4,6
5/1/11,12115,,12115,4,2011,5,7
5/2/11,17761,,17761,5,2011,5,1
5/3/11,4371,,4371,1,2011,5,2
5/4/11,13193,,13193,5,2011,5,3
5/5/11,6305,,6305,2,2011,5,4
5/6/11,9554,,9554,3,2011,5,5
5/7/11,6979,,6979,2,2011,5,6
5/8/11,6303,,6303,2,2011,5,7
5/9/11,4097,,4097,1,2011,5,1
5/10/11,15154,,15154,5,2011,5,2
5/11/11,1538,,1538,1,2011,5,3
5/12/11,15552,,15552,5,2011,5,4
5/13/11,17278,,17278,5,2011,5,5
5/14/11,10793,,10793,4,2011,5,6
5/15/11,16216,,16216,5,2011,5,7
5/16/11,13641,,13641,5,2011,5,1
5/17/11,15370,,15370,5,2011,5,2
5/18/11,19063,,19063,5,2011,5,3
5/19/11,11328,,11328,4,2011,5,4
5/20/11,18545,,18545,5,2011,5,5
5/21/11,12908,,12908,5,2011,5,6
5/22/11,18708,,18708,5,2011,5,7
5/23/11,10438,,10438,4,2011,5,1
5/24/11,10439,,10439,4,2011,5,2
5/25/11,6155,,6155,2,2011,5,3
5/26/11,27679,,27679,5,2011,5,4
5/27/11,7343,,7343,2,2011,5,5
5/28/11,9893,,9893,3,2011,5,6
5/29/11,12129,,12129,4,2011,5,7
5/30/11,11331,,11331,4,2011,5,1
5/31/11,10798,,10798,4,2011,5,2
6/1/11,11716,,11716,4,2011,6,3
6/2/11,25538,,25538,5,2011,6,4
6/3/11,6351,,6351,2,2011,6,5
6/4/11,7241,,7241,2,2011,6,6
6/5/11,10363,,10363,4,2011,6,7
6/6/11,14263,,14263,5,2011,6,1
6/7/11,30292,,30292,5,2011,6,2
6/8/11,10234,,10234,4,2011,6,3
6/9/11,14622,,14622,5,2011,6,4
6/10/11,12342,,12342,4,2011,6,5
6/11/11,7140,,7140,2,2011,6,6
6/12/11,24357,,24357,5,2011,6,7
6/13/11,17524,,17524,5,2011,6,1
6/14/11,9945,,9945,3,2011,6,2
6/15/11,16638,,16638,5,2011,6,3
6/16/11,6886,,6886,2,2011,6,4
6/17/11,18330,,18330,5,2011,6,5
6/18/11,12599,,12599,5,2011,6,6
6/19/11,10742,,10742,4,2011,6,7
6/20/11,20541,,20541,5,2011,6,1
6/21/11,10888,,10888,4,2011,6,2
6/22/11,9151,,9151,3,2011,6,3
6/23/11,12164,,12164,4,2011,6,4
6/24/11,15284,,15284,5,2011,6,5
6/25/11,17068,,17068,5,2011,6,6
6/26/11,14862,,14862,5,2011,6,7
6/27/11,14940,,14940,5,2011,6,1
6/28/11,12886,,12886,5,2011,6,2
6/29/11,20899,,20899,5,2011,6,3
6/30/11,17020,,17020,5,2011,6,4
7/1/11,23323,,23323,5,2011,7,5
7/2/11,4525,,4525,1,2011,7,6
7/3/11,10817,,10817,4,2011,7,7
7/4/11,10675,,10675,4,2011,7,1
7/5/11,10236,,10236,4,2011,7,2
7/6/11,17862,,17862,5,2011,7,3
7/7/11,15818,,15818,5,2011,7,4
7/8/11,28387,,28387,5,2011,7,5
7/9/11,18198,,18198,5,2011,7,6
7/10/11,20238,,20238,5,2011,7,7
7/11/11,16644,,16644,5,2011,7,1
7/12/11,19626,,19626,5,2011,7,2
7/13/11,12125,,12125,4,2011,7,3
7/14/11,11561,,11561,4,2011,7,4
7/15/11,14398,,14398,5,2011,7,5
7/16/11,15339,,15339,5,2011,7,6
7/17/11,17536,,17536,5,2011,7,7
7/18/11,19932,,19932,5,2011,7,1
7/19/11,9931,,9931,3,2011,7,2
7/20/11,15223,,15223,5,2011,7,3
7/21/11,20335,,20335,5,2011,7,4
7/22/11,9993,,9993,3,2011,7,5
7/23/11,15429,,15429,5,2011,7,6
7/24/11,20106,,20106,5,2011,7,7
7/25/11,15737,,15737,5,2011,7,1
7/26/11,27496,,27496,5,2011,7,2
7/27/11,28177,,28177,5,2011,7,3
7/28/11,12455,,12455,4,2011,7,4
7/29/11,24698,,24698,5,2011,7,5
7/30/11,18251,,18251,5,2011,7,6
7/31/11,25938,,25938,5,2011,7,7
8/1/11,12296,,12296,4,2011,8,1
8/2/11,21254,,21254,5,2011,8,2
8/3/11,12846,,12846,5,2011,8,3
8/4/11,15946,,15946,5,2011,8,4
8/5/11,10118,,10118,4,2011,8,5
8/6/11,5503,,5503,2,2011,8,6
8/7/11,21448,,21448,5,2011,8,7
8/8/11,14152,,14152,5,2011,8,1
8/9/11,16376,,16376,5,2011,8,2
8/10/11,10458,,10458,4,2011,8,3
8/11/11,15600,,15600,5,2011,8,4
8/12/11,10619,,10619,4,2011,8,5
8/13/11,19199,,19199,5,2011,8,6
8/14/11,9042,,9042,3,2011,8,7
8/15/11,13722,,13722,5,2011,8,1
8/16/11,22685,,22685,5,2011,8,2
8/17/11,19346,,19346,5,2011,8,3
8/18/11,8369,,8369,3,2011,8,4
8/19/11,12756,,12756,5,2011,8,5
8/20/11,3195,,3195,1,2011,8,6
8/21/11,22826,,22826,5,2011,8,7
8/22/11,7756,,7756,3,2011,8,1
8/23/11,12807,,12807,5,2011,8,2
8/24/11,9004,,9004,3,2011,8,3
8/25/11,8203,,8203,3,2011,8,4
8/26/11,28615,,28615,5,2011,8,5
8/27/11,23687,,23687,5,2011,8,6
8/28/11,9815,,9815,3,2011,8,7
8/29/11,4623,,4623,1,2011,8,1
8/30/11,15028,,15028,5,2011,8,2
8/31/11,11202,,11202,4,2011,8,3
9/1/11,7189,,7189,2,2011,9,4
9/2/11,5175,,5175,2,2011,9,5
9/3/11,5833,,5833,2,2011,9,6
9/4/11,9465,,9465,3,2011,9,7
9/5/11,8031,,8031,3,2011,9,1
9/6/11,9258,,9258,3,2011,9,2
9/7/11,7463,,7463,2,2011,9,3
9/8/11,15533,,15533,5,2011,9,4
9/9/11,12635,,12635,5,2011,9,5
9/10/11,12135,,12135,4,2011,9,6
9/11/11,15733,,15733,5,2011,9,7
9/12/11,9907,,9907,3,2011,9,1
9/13/11,14153,,14153,5,2011,9,2
9/14/11,14383,,14383,5,2011,9,3
9/15/11,12923,,12923,5,2011,9,4
9/16/11,13755,,13755,5,2011,9,5
9/17/11,7360,,7360,2,2011,9,6
9/18/11,9296,,9296,3,2011,9,7
9/19/11,6604,,6604,2,2011,9,1
9/20/11,13985,,13985,5,2011,9,2
9/21/11,12326,,12326,4,2011,9,3
9/22/11,12669,,12669,5,2011,9,4
9/23/11,4564,,4564,1,2011,9,5
9/24/11,7088,,7088,2,2011,9,6
9/25/11,4628,,4628,1,2011,9,7
9/26/11,5514,,5514,2,2011,9,1
9/27/11,8117,,8117,3,2011,9,2
9/28/11,6070,,6070,2,2011,9,3
9/29/11,12193,,12193,4,2011,9,4
9/30/11,11896,,11896,4,2011,9,5
10/1/11,20172,,20172,5,2011,10,6
10/2/11,20407,,20407,5,2011,10,7
10/3/11,16576,,16576,5,2011,10,1
10/4/11,14894,,14894,5,2011,10,2
10/5/11,10723,,10723,4,2011,10,3
10/6/11,19291,,19291,5,2011,10,4
10/7/11,10888,,10888,4,2011,10,5
10/8/11,13902,,13902,5,2011,10,6
10/9/11,7634,,7634,3,2011,10,7
10/10/11,12267,,12267,4,2011,10,1
10/11/11,11890,,11890,4,2011,10,2
10/12/11,8867,,8867,3,2011,10,3
10/13/11,17809,,17809,5,2011,10,4
10/14/11,11654,,11654,4,2011,10,5
10/15/11,7982,,7982,3,2011,10,6
10/16/11,6410,,6410,2,2011,10,7
10/17/11,21020,,21020,5,2011,10,1
10/18/11,13176,,13176,5,2011,10,2
10/19/11,6259,,6259,2,2011,10,3
10/20/11,10056,,10056,4,2011,10,4
10/21/11,16696,,16696,5,2011,10,5
10/22/11,8289,,8289,3,2011,10,6
10/23/11,6585,,6585,2,2011,10,7
10/24/11,12441,,12441,4,2011,10,1
10/25/11,13831,,13831,5,2011,10,2
10/26/11,18015,,18015,5,2011,10,3
10/27/11,4361,,4361,1,2011,10,4
10/28/11,11829,,11829,4,2011,10,5
10/29/11,9170,,9170,3,2011,10,6
10/30/11,53904,,53904,5,2011,10,7
10/31/11,11308,,11308,4,2011,10,1
11/1/11,8413,,8413,3,2011,11,2
11/2/11,14337,,14337,5,2011,11,3
11/3/11,6552,,6552,2,2011,11,4
11/4/11,10899,,10899,4,2011,11,5
11/5/11,12542,,12542,5,2011,11,6
11/6/11,8064,,8064,3,2011,11,7
11/7/11,14344,,14344,5,2011,11,1
11/8/11,10940,,10940,4,2011,11,2
11/9/11,11437,,11437,4,2011,11,3
11/10/11,16246,,16246,5,2011,11,4
11/11/11,2856,,2856,1,2011,11,5
11/12/11,8753,,8753,3,2011,11,6
11/13/11,5631,,5631,2,2011,11,7
11/14/11,12224,,12224,4,2011,11,1
11/15/11,14770,,14770,5,2011,11,2
11/16/11,9290,,9290,3,2011,11,3
11/17/11,7204,,7204,2,2011,11,4
11/18/11,10880,,10880,4,2011,11,5
11/19/11,2781,,2781,1,2011,11,6
11/20/11,7202,,7202,2,2011,11,7
11/21/11,10212,,10212,4,2011,11,1
11/22/11,8529,,8529,3,2011,11,2
11/23/11,5628,,5628,2,2011,11,3
11/24/11,7737,,7737,3,2011,11,4
11/25/11,11864,,11864,4,2011,11,5
11/26/11,5696,,5696,2,2011,11,6
11/27/11,13252,,13252,5,2011,11,7
11/28/11,9106,,9106,3,2011,11,1
11/29/11,10060,,10060,4,2011,11,2
11/30/11,10696,,10696,4,2011,11,3
12/1/11,14207,,14207,5,2011,12,4
12/2/11,20017,,20017,5,2011,12,5
12/3/11,13138,,13138,5,2011,12,6
12/4/11,7171,,7171,2,2011,12,7
12/5/11,11763,,11763,4,2011,12,1
12/6/11,8868,,8868,3,2011,12,2
12/7/11,9043,,9043,3,2011,12,3
12/8/11,16087,,16087,5,2011,12,4
12/9/11,14251,,14251,5,2011,12,5
12/10/11,7227,,7227,2,2011,12,6
12/11/11,24371,,24371,5,2011,12,7
12/12/11,14787,,14787,5,2011,12,1
12/13/11,9106,,9106,3,2011,12,2
12/14/11,12674,,12674,5,2011,12,3
12/15/11,18812,,18812,5,2011,12,4
12/16/11,13533,,13533,5,2011,12,5
12/17/11,16200,,16200,5,2011,12,6
12/18/11,12971,,12971,5,2011,12,7
12/19/11,23070,,23070,5,2011,12,1
12/20/11,10824,,10824,4,2011,12,2
12/21/11,11241,,11241,4,2011,12,3
12/22/11,10622,,10622,4,2011,12,4
12/23/11,6340,,6340,2,2011,12,5
12/24/11,8716,,8716,3,2011,12,6
12/25/11,6009,,6009,2,2011,12,7
12/26/11,6989,,6989,2,2011,12,1
12/27/11,7889,,7889,3,2011,12,2
12/28/11,7394,,7394,2,2011,12,3
12/29/11,4934,,4934,1,2011,12,4
12/30/11,6874,,6874,2,2011,12,5
12/31/11,3163,,3163,1,2011,12,6
1/1/12,15217,,15217,5,2012,1,7
1/2/12,15903,,15903,5,2012,1,1
1/3/12,4018,,4018,1,2012,1,2
1/4/12,12386,,12386,4,2012,1,3
1/5/12,4869,,4869,1,2012,1,4
1/6/12,8374,,8374,3,2012,1,5
1/7/12,7774,,7774,3,2012,1,6
1/8/12,7663,,7663,3,2012,1,7
1/9/12,14098,,14098,5,2012,1,1
1/10/12,7886,,7886,3,2012,1,2
1/11/12,9295,,9295,3,2012,1,3
1/12/12,14328,,14328,5,2012,1,4
1/13/12,7038,,7038,2,2012,1,5
1/14/12,9753,,9753,3,2012,1,6
1/15/12,5499,,5499,2,2012,1,7
1/16/12,11559,,11559,4,2012,1,1
1/17/12,12830,,12830,5,2012,1,2
1/18/12,13418,,13418,5,2012,1,3
1/19/12,13137,,13137,5,2012,1,4
1/20/12,9561,,9561,3,2012,1,5
1/21/12,13046,,13046,5,2012,1,6
1/22/12,8116,,8116,3,2012,1,7
1/23/12,15389,,15389,5,2012,1,1
1/24/12,16498,,16498,5,2012,1,2
1/25/12,9486,,9486,3,2012,1,3
1/26/12,21179,,21179,5,2012,1,4
1/27/12,13919,,13919,5,2012,1,5
1/28/12,15262,,15262,5,2012,1,6
1/29/12,15445,,15445,5,2012,1,7
1/30/12,16817,,16817,5,2012,1,1
1/31/12,12214,,12214,4,2012,1,2
2/1/12,21652,,21652,5,2012,2,3
2/2/12,20229,,20229,5,2012,2,4
2/3/12,9532,,9532,3,2012,2,5
2/4/12,6883,,6883,2,2012,2,6
2/5/12,17098,,17098,5,2012,2,7
2/6/12,14891,,14891,5,2012,2,1
2/7/12,19598,,19598,5,2012,2,2
2/8/12,9072,,9072,3,2012,2,3
2/9/12,18887,,18887,5,2012,2,4
2/10/12,18071,,18071,5,2012,2,5
2/11/12,6060,,6060,2,2012,2,6
2/12/12,12570,,12570,5,2012,2,7
2/13/12,24407,,24407,5,2012,2,1
2/14/12,11012,,11012,4,2012,2,2
2/15/12,8328,,8328,3,2012,2,3
2/16/12,8555,,8555,3,2012,2,4
2/17/12,7863,,7863,3,2012,2,5
2/18/12,5120,,5120,2,2012,2,6
2/19/12,1784,,1784,1,2012,2,7
2/20/12,4580,,4580,1,2012,2,1
2/21/12,3192,,3192,1,2012,2,2
2/22/12,15635,,15635,5,2012,2,3
2/23/12,13825,,13825,5,2012,2,4
2/24/12,21862,,21862,5,2012,2,5
2/25/12,4002,,4002,1,2012,2,6
2/26/12,8350,,8350,3,2012,2,7
2/27/12,9025,,9025,3,2012,2,1
2/28/12,16852,,16852,5,2012,2,2
2/29/12,11770,,11770,4,2012,2,3
3/1/12,11212,,11212,4,2012,3,4
3/2/12,20370,,20370,5,2012,3,5
3/3/12,6409,,6409,2,2012,3,6
3/4/12,14236,,14236,5,2012,3,7
3/5/12,3768,,3768,1,2012,3,1
3/6/12,11702,,11702,4,2012,3,2
3/7/12,4644,,4644,1,2012,3,3
3/8/12,9058,,9058,3,2012,3,4
3/9/12,10533,,10533,4,2012,3,5
3/10/12,4804,,4804,1,2012,3,6
3/11/12,12405,,12405,4,2012,3,7
3/12/12,20649,,20649,5,2012,3,1
3/13/12,14077,,14077,5,2012,3,2
3/14/12,10209,,10209,4,2012,3,3
3/15/12,15631,,15631,5,2012,3,4
3/16/12,10189,,10189,4,2012,3,5
3/17/12,9347,,9347,3,2012,3,6
3/18/12,12119,,12119,4,2012,3,7
3/19/12,23765,,23765,5,2012,3,1
3/20/12,20269,,20269,5,2012,3,2
3/21/12,15509,,15509,5,2012,3,3
3/22/12,16701,,16701,5,2012,3,4
3/23/12,13805,,13805,5,2012,3,5
3/24/12,10612,,10612,4,2012,3,6
3/25/12,14551,,14551,5,2012,3,7
3/26/12,12410,,12410,4,2012,3,1
3/27/12,6405,,6405,2,2012,3,2
3/28/12,5190,,5190,2,2012,3,3
3/29/12,6483,,6483,2,2012,3,4
3/30/12,22373,,22373,5,2012,3,5
3/31/12,8475,,8475,3,2012,3,6
4/1/12,8271,,8271,3,2012,4,7
4/2/12,17922,,17922,5,2012,4,1
4/3/12,17985,,17985,5,2012,4,2
4/4/12,13992,,13992,5,2012,4,3
4/5/12,19511,,19511,5,2012,4,4
4/6/12,13280,,13280,5,2012,4,5
4/7/12,10774,,10774,4,2012,4,6
4/8/12,25045,,25045,5,2012,4,7
4/9/12,11892,,11892,4,2012,4,1
4/10/12,12716,,12716,5,2012,4,2
4/11/12,12914,,12914,5,2012,4,3
4/12/12,11068,,11068,4,2012,4,4
4/13/12,16264,,16264,5,2012,4,5
4/14/12,13099,,13099,5,2012,4,6
4/15/12,17367,,17367,5,2012,4,7
4/16/12,8436,,8436,3,2012,4,1
4/17/12,12275,,12275,4,2012,4,2
4/18/12,10690,,10690,4,2012,4,3
4/19/12,15244,,15244,5,2012,4,4
4/20/12,13808,,13808,5,2012,4,5
4/21/12,14341,,14341,5,2012,4,6
4/22/12,9157,,9157,3,2012,4,7
4/23/12,12646,,12646,5,2012,4,1
4/24/12,13488,,13488,5,2012,4,2
4/25/12,14200,,14200,5,2012,4,3
4/26/12,11380,,11380,4,2012,4,4
4/27/12,8446,,8446,3,2012,4,5
4/28/12,9640,,9640,3,2012,4,6
4/29/12,11556,,11556,4,2012,4,7
4/30/12,16450,,16450,5,2012,4,1
5/1/12,10751,,10751,4,2012,5,2
5/2/12,16055,,16055,5,2012,5,3
5/3/12,7555,,7555,3,2012,5,4
5/4/12,6735,,6735,2,2012,5,5
5/5/12,6118,,6118,2,2012,5,6
5/6/12,18946,,18946,5,2012,5,7
5/7/12,13953,,13953,5,2012,5,1
5/8/12,18624,,18624,5,2012,5,2
5/9/12,14059,,14059,5,2012,5,3
5/10/12,12555,,12555,5,2012,5,4
5/11/12,15039,,15039,5,2012,5,5
5/12/12,14005,,14005,5,2012,5,6
5/13/12,13427,,13427,5,2012,5,7
5/14/12,12718,,12718,5,2012,5,1
5/15/12,18261,,18261,5,2012,5,2
5/16/12,13705,,13705,5,2012,5,3
5/17/12,8895,,8895,3,2012,5,4
5/18/12,11338,,11338,4,2012,5,5
5/19/12,14271,,14271,5,2012,5,6
5/20/12,7884,,7884,3,2012,5,7
5/21/12,8093,,8093,3,2012,5,1
5/22/12,15937,,15937,5,2012,5,2
5/23/12,15435,,15435,5,2012,5,3
5/24/12,14810,,14810,5,2012,5,4
5/25/12,12895,,12895,5,2012,5,5
5/26/12,10806,,10806,4,2012,5,6
5/27/12,8529,,8529,3,2012,5,7
5/28/12,9000,,9000,3,2012,5,1
5/29/12,9577,,9577,3,2012,5,2
5/30/12,18521,,18521,5,2012,5,3
5/31/12,27424,,27424,5,2012,5,4
6/1/12,16957,,16957,5,2012,6,5
6/2/12,17187,,17187,5,2012,6,6
6/3/12,2357,,2357,1,2012,6,7
6/4/12,13339,,13339,5,2012,6,1
6/5/12,6780,,6780,2,2012,6,2
6/6/12,17344,,17344,5,2012,6,3
6/7/12,14531,,14531,5,2012,6,4
6/8/12,18355,,18355,5,2012,6,5
6/9/12,5745,,5745,2,2012,6,6
6/10/12,7354,,7354,2,2012,6,7
6/11/12,15765,,15765,5,2012,6,1
6/12/12,12654,,12654,5,2012,6,2
6/13/12,11975,,11975,4,2012,6,3
6/14/12,10095,,10095,4,2012,6,4
6/15/12,10470,,10470,4,2012,6,5
6/16/12,16226,,16226,5,2012,6,6
6/17/12,13511,,13511,5,2012,6,7
6/18/12,15080,,15080,5,2012,6,1
6/19/12,12696,,12696,5,2012,6,2
6/20/12,6390,,6390,2,2012,6,3
6/21/12,7370,,7370,2,2012,6,4
6/22/12,12311,,12311,4,2012,6,5
6/23/12,5108,,5108,2,2012,6,6
6/24/12,5234,,5234,2,2012,6,7
6/25/12,3382,,3382,1,2012,6,1
6/26/12,13588,,13588,5,2012,6,2
6/27/12,19715,,19715,5,2012,6,3
6/28/12,17362,,17362,5,2012,6,4
6/29/12,5843,,5843,2,2012,6,5
6/30/12,3598,,3598,1,2012,6,6
7/1/12,12771,,12771,5,2012,7,7
7/2/12,8312,,8312,3,2012,7,1
7/3/12,18972,,18972,5,2012,7,2
7/4/12,13869,,13869,5,2012,7,3
7/5/12,16605,,16605,5,2012,7,4
7/6/12,7981,,7981,3,2012,7,5
7/7/12,12484,,12484,4,2012,7,6
7/8/12,12695,,12695,5,2012,7,7
7/9/12,15857,,15857,5,2012,7,1
7/10/12,14102,,14102,5,2012,7,2
7/11/12,19877,,19877,5,2012,7,3
7/12/12,10462,,10462,4,2012,7,4
7/13/12,19614,,19614,5,2012,7,5
7/14/12,14564,,14564,5,2012,7,6
7/15/12,6396,,6396,2,2012,7,7
7/16/12,24922,,24922,5,2012,7,1
7/17/12,11535,,11535,4,2012,7,2
7/18/12,6660,,6660,2,2012,7,3
7/19/12,11798,,11798,4,2012,7,4
7/20/12,8257,,8257,3,2012,7,5
7/21/12,10511,,10511,4,2012,7,6
7/22/12,4148,,4148,1,2012,7,7
7/23/12,8993,,8993,3,2012,7,1
7/24/12,8794,,8794,3,2012,7,2
7/25/12,5628,,5628,2,2012,7,3
7/26/12,5705,,5705,2,2012,7,4
7/27/12,,,,0,2012,7,5
7/28/12,,,,0,2012,7,6
7/29/12,,,,0,2012,7,7
7/30/12,,,,0,2012,7,1
7/31/12,,,,0,2012,7,2
8/1/12,,,,0,2012,8,3
8/2/12,,,,0,2012,8,4
8/3/12,,,,0,2012,8,5
8/4/12,,,,0,2012,8,6
8/5/12,,,,0,2012,8,7
8/6/12,,,,0,2012,8,1
8/7/12,,,,0,2012,8,2
8/8/12,,,,0,2012,8,3
8/9/12,15148,,15148,5,2012,8,4
8/10/12,2874,,2874,1,2012,8,5
8/11/12,79,,79,1,2012,8,6
8/12/12,4464,,4464,1,2012,8,7
8/13/12,2648,,2648,1,2012,8,1
8/14/12,9548,,9548,3,2012,8,2
8/15/12,13594,,13594,5,2012,8,3
8/16/12,10420,,10420,4,2012,8,4
8/17/12,5838,,5838,2,2012,8,5
8/18/12,17069,,17069,5,2012,8,6
8/19/12,8984,,8984,3,2012,8,7
8/20/12,9504,,9504,3,2012,8,1
8/21/12,6249,,6249,2,2012,8,2
8/22/12,6696,,6696,2,2012,8,3
8/23/12,6030,,6030,2,2012,8,4
8/24/12,4860,,4860,1,2012,8,5
8/25/12,4071,,4071,1,2012,8,6
8/26/12,5463,,5463,2,2012,8,7
8/27/12,10075,,10075,4,2012,8,1
8/28/12,8026,,8026,3,2012,8,2
8/29/12,9517,,9517,3,2012,8,3
8/30/12,6192,,6192,2,2012,8,4
8/31/12,10708,,10708,4,2012,8,5
9/1/12,9677,,9677,3,2012,9,6
9/2/12,5602,,5602,2,2012,9,7
9/3/12,5255,,5255,2,2012,9,1
9/4/12,4310,,4310,1,2012,9,2
9/5/12,7357,,7357,2,2012,9,3
9/6/12,6317,,6317,2,2012,9,4
9/7/12,10234,,10234,4,2012,9,5
9/8/12,6871,,6871,2,2012,9,6
9/9/12,7146,,7146,2,2012,9,7
9/10/12,6276,,6276,2,2012,9,1
9/11/12,7128,,7128,2,2012,9,2
9/12/12,14382,,14382,5,2012,9,3
9/13/12,10305,,10305,4,2012,9,4
9/14/12,16120,,16120,5,2012,9,5
9/15/12,15066,,15066,5,2012,9,6
9/16/12,11993,,11993,4,2012,9,7
9/17/12,11771,,11771,4,2012,9,1
9/18/12,18214,,18214,5,2012,9,2
9/19/12,16409,,16409,5,2012,9,3
9/20/12,18942,,18942,5,2012,9,4
9/21/12,11005,,11005,4,2012,9,5
9/22/12,12240,,12240,4,2012,9,6
9/23/12,11041,,11041,4,2012,9,7
9/24/12,10428,,10428,4,2012,9,1
9/25/12,14196,,14196,5,2012,9,2
9/26/12,13303,,13303,5,2012,9,3
9/27/12,10047,,10047,4,2012,9,4
9/28/12,8935,,8935,3,2012,9,5
9/29/12,6155,,6155,2,2012,9,6
9/30/12,13900,,13900,5,2012,9,7
10/1/12,12531,,12531,5,2012,10,1
10/2/12,12307,,12307,4,2012,10,2
10/3/12,16571,,16571,5,2012,10,3
10/4/12,19875,,19875,5,2012,10,4
10/5/12,9272,,9272,3,2012,10,5
10/6/12,16063,,16063,5,2012,10,6
10/7/12,7069,,7069,2,2012,10,7
10/8/12,17516,,17516,5,2012,10,1
10/9/12,27398,,27398,5,2012,10,2
10/10/12,3355,,3355,1,2012,10,3
10/11/12,,,,0,2012,10,4
10/12/12,,,,0,2012,10,5
10/13/12,,,,0,2012,10,6
10/14/12,,,,0,2012,10,7
10/15/12,,,,0,2012,10,1
10/16/12,,,,0,2012,10,2
10/17/12,,,,0,2012,10,3
10/18/12,,,,0,2012,10,4
10/19/12,,,,0,2012,10,5
10/20/12,,,,0,2012,10,6
10/21/12,,,,0,2012,10,7
10/22/12,,,,0,2012,10,1
10/23/12,5142,,5142,2,2012,10,2
10/24/12,10485,,10485,4,2012,10,3
10/25/12,8161,,8161,3,2012,10,4
